layer,neurons,signature,support,label,train_coverage,train_precision,train_recall,test_coverage,test_precision,test_recall,kind
2,"[11, 6, 4, 2, 2, 6]","['<=', 26.7747220993042, '<=', 76.14443969726562, '<=', 9.947811126708984, '<=', 48.31953811645508, '<=', 39.36651802062988, '<=', 63.84084701538086]",70,0,11.400651465798045,100,21.472392638036812,9.740259740259742,93.33333333333333,14.736842105263156,correct
2,"[11, 8, 6, 3, 2]","['>', 26.7747220993042, '<=', 37.07167434692383, '<=', 47.904945373535156, '>', 0.26570093631744385, '<=', 44.90311050415039]",23,0,3.7459283387622153,100,7.05521472392638,2.5974025974025974,100.0,4.2105263157894735,correct
2,"[11, 6, 4, 2, 2, 6, 1]","['<=', 26.7747220993042, '<=', 76.14443969726562, '<=', 9.947811126708984, '<=', 48.31953811645508, '<=', 39.36651802062988, '>', 63.84084701538086, '>', 68.41350173950195]",22,0,3.5830618892508146,100,6.748466257668712,3.2467532467532463,100.0,5.263157894736842,correct
2,"[11, 6, 4, 6, 4, 11, 6, 5]","['<=', 26.7747220993042, '<=', 76.14443969726562, '>', 9.947811126708984, '<=', 40.3225212097168, '>', 10.986247062683105, '<=', 24.787850379943848, '<=', 28.770124435424805, '<=', 0.769197404384613]",20,0,3.257328990228013,100,6.134969325153374,3.2467532467532463,100.0,5.263157894736842,correct
2,"[11, 6, 4, 6, 4, 11]","['<=', 26.7747220993042, '<=', 76.14443969726562, '>', 9.947811126708984, '<=', 40.3225212097168, '>', 10.986247062683105, '>', 24.787850379943848]",18,0,2.9315960912052117,100,5.521472392638037,1.948051948051948,100.0,3.1578947368421053,correct
2,"[11, 6, 6, 2, 11, 2, 6]","['<=', 26.7747220993042, '>', 76.14443969726562, '<=', 143.8001708984375, '<=', 26.68839740753174, '<=', 15.24663496017456, '>', 6.331380844116211, '<=', 126.14929962158203]",18,0,2.9315960912052117,100,5.521472392638037,3.2467532467532463,60.0,3.1578947368421053,correct
2,"[11, 6, 4, 6, 4, 11, 6, 8, 4, 4, 2, 4]","['<=', 26.7747220993042, '<=', 76.14443969726562, '>', 9.947811126708984, '<=', 40.3225212097168, '>', 10.986247062683105, '<=', 24.787850379943848, '>', 28.770124435424805, '>', 16.324870109558105, '>', 16.607929229736328, '<=', 24.41388511657715, '<=', 43.82393836975098, '>', 18.286951065063477]",14,0,2.2801302931596092,100,4.294478527607362,3.896103896103896,100.0,6.315789473684211,correct
2,"[11, 6, 4, 2, 2, 8, 11]","['<=', 26.7747220993042, '<=', 76.14443969726562, '<=', 9.947811126708984, '<=', 48.31953811645508, '>', 39.36651802062988, '<=', 26.382761001586914, '<=', 24.09218978881836]",13,0,2.1172638436482085,100,3.9877300613496933,1.948051948051948,100.0,3.1578947368421053,correct
2,"[11, 6, 6, 2, 11, 11, 10]","['<=', 26.7747220993042, '>', 76.14443969726562, '<=', 143.8001708984375, '<=', 26.68839740753174, '>', 15.24663496017456, '>', 15.898059844970703, '>', 59.139055252075195]",7,0,1.1400651465798046,100,2.147239263803681,1.2987012987012987,50.0,1.0526315789473684,correct
2,"[11, 8, 6, 3, 4]","['>', 26.7747220993042, '<=', 37.07167434692383, '<=', 47.904945373535156, '<=', 0.26570093631744385, '<=', 11.84646224975586]",7,0,1.1400651465798046,100,2.147239263803681,1.948051948051948,100.0,3.1578947368421053,correct
