layer,neurons,signature,support,label,train_coverage,train_precision,train_recall,test_coverage,test_precision,test_recall,kind
2,"[1, 4, 6, 11, 6]","['<=', 79.22483825683594, '<=', 9.130087852478027, '<=', 68.650146484375, '<=', 35.143245697021484, '<=', 47.674312591552734]",51,0,8.306188925081432,100,10.828025477707007,6.493506493506493,90.0,9.473684210526317,correct
2,"[1, 4, 6, 11, 6, 6, 8, 11]","['<=', 79.22483825683594, '<=', 9.130087852478027, '<=', 68.650146484375, '<=', 35.143245697021484, '>', 47.674312591552734, '>', 47.82629203796387, '>', 17.81879425048828, '>', 18.551777839660645]",39,0,6.351791530944626,100,8.280254777070063,7.142857142857142,81.81818181818183,9.473684210526317,correct
2,"[1, 4, 10, 1, 1, 11]","['<=', 79.22483825683594, '>', 9.130087852478027, '>', 27.20951557159424, '<=', 37.50601577758789, '>', 32.265119552612305, '>', 20.742549896240234]",38,0,6.188925081433225,100,8.067940552016985,7.142857142857142,63.63636363636363,7.368421052631578,correct
2,"[1, 8, 2, 11, 6, 2]","['>', 79.22483825683594, '>', 55.08897018432617, '>', 6.99555778503418, '<=', 15.301994800567627, '<=', 155.96651458740234, '<=', 33.333580017089844]",29,0,4.723127035830619,100,6.1571125265392785,4.545454545454546,71.42857142857143,5.263157894736842,correct
2,"[1, 4, 10, 1, 4, 11, 10, 6, 6, 10, 8, 10]","['<=', 79.22483825683594, '>', 9.130087852478027, '>', 27.20951557159424, '>', 37.50601577758789, '>', 14.923295021057129, '>', 28.7241268157959, '<=', 85.79150772094727, '<=', 73.33867645263672, '<=', 49.21511459350586, '>', 45.01109313964844, '<=', 32.6074104309082, '<=', 63.719804763793945]",28,0,4.5602605863192185,100,5.9447983014862,3.896103896103896,83.33333333333334,5.263157894736842,correct
2,"[1, 4, 6, 11, 6, 6, 8, 11, 2, 11, 11]","['<=', 79.22483825683594, '<=', 9.130087852478027, '<=', 68.650146484375, '<=', 35.143245697021484, '>', 47.674312591552734, '>', 47.82629203796387, '>', 17.81879425048828, '<=', 18.551777839660645, '<=', 39.36651802062988, '<=', 18.53982448577881, '<=', 18.134638786315918]",20,0,3.257328990228013,100,4.246284501061571,1.948051948051948,100.0,3.1578947368421053,correct
2,"[1, 4, 10, 1, 4, 11, 10, 6, 6, 6, 4, 4, 11, 3, 10, 8, 6]","['<=', 79.22483825683594, '>', 9.130087852478027, '>', 27.20951557159424, '>', 37.50601577758789, '>', 14.923295021057129, '>', 28.7241268157959, '<=', 85.79150772094727, '<=', 73.33867645263672, '>', 49.21511459350586, '>', 49.53880310058594, '>', 18.502821922302246, '>', 21.78748607635498, '>', 33.98397445678711, '<=', 9.034791469573975, '>', 52.390546798706055, '<=', 44.79938507080078, '<=', 67.22541809082031]",19,0,3.0944625407166124,100,4.033970276008493,3.896103896103896,16.666666666666664,1.0526315789473684,correct
2,"[1, 4, 10, 1, 4, 11, 10, 6]","['<=', 79.22483825683594, '>', 9.130087852478027, '>', 27.20951557159424, '>', 37.50601577758789, '>', 14.923295021057129, '>', 28.7241268157959, '<=', 85.79150772094727, '>', 73.33867645263672]",17,0,2.768729641693811,100,3.6093418259023355,1.948051948051948,33.33333333333333,1.0526315789473684,correct
2,"[1, 8, 2, 11, 11, 6, 2]","['>', 79.22483825683594, '>', 55.08897018432617, '>', 6.99555778503418, '>', 15.301994800567627, '>', 16.023289680480957, '>', 120.92045974731445, '<=', 32.34519004821777]",16,0,2.6058631921824107,100,3.397027600849257,4.545454545454546,14.285714285714285,1.0526315789473684,correct
2,"[1, 4, 6, 6, 2, 2]","['<=', 79.22483825683594, '<=', 9.130087852478027, '>', 68.650146484375, '>', 69.54710006713867, '>', 25.050808906555176, '>', 35.35737609863281]",14,0,2.2801302931596092,100,2.9723991507431,1.2987012987012987,100.0,2.1052631578947367,correct
2,"[1, 4, 10, 1, 1, 1, 2, 10]","['<=', 79.22483825683594, '>', 9.130087852478027, '>', 27.20951557159424, '<=', 37.50601577758789, '<=', 32.265119552612305, '<=', 30.943477630615234, '<=', 36.41305732727051, '>', 39.017351150512695]",14,0,2.2801302931596092,100,2.9723991507431,4.545454545454546,85.71428571428571,6.315789473684211,correct
2,"[1, 8, 2, 11, 11, 6, 8, 2]","['>', 79.22483825683594, '>', 55.08897018432617, '>', 6.99555778503418, '>', 15.301994800567627, '>', 16.023289680480957, '<=', 120.92045974731445, '<=', 58.778228759765625, '>', 28.604866981506348]",13,0,2.1172638436482085,100,2.7600849256900215,1.948051948051948,33.33333333333333,1.0526315789473684,correct
2,"[1, 4, 6, 6, 2, 2, 2, 6, 1]","['<=', 79.22483825683594, '<=', 9.130087852478027, '>', 68.650146484375, '>', 69.54710006713867, '>', 25.050808906555176, '<=', 35.35737609863281, '<=', 34.574026107788086, '<=', 83.10993194580078, '>', 73.14326858520508]",11,0,1.7915309446254073,100,2.335456475583864,2.5974025974025974,75.0,3.1578947368421053,correct
2,"[1, 4, 10, 1, 4, 11, 10, 6, 6, 6, 4, 3]","['<=', 79.22483825683594, '>', 9.130087852478027, '>', 27.20951557159424, '>', 37.50601577758789, '>', 14.923295021057129, '>', 28.7241268157959, '<=', 85.79150772094727, '<=', 73.33867645263672, '>', 49.21511459350586, '>', 49.53880310058594, '<=', 18.502821922302246, '<=', 8.402413845062256]",9,0,1.4657980456026058,100,1.910828025477707,2.5974025974025974,25.0,1.0526315789473684,correct
2,"[1, 8, 2, 11, 11, 6, 8, 2, 8, 8, 2]","['>', 79.22483825683594, '>', 55.08897018432617, '>', 6.99555778503418, '>', 15.301994800567627, '>', 16.023289680480957, '<=', 120.92045974731445, '>', 58.778228759765625, '>', 23.18270778656006, '<=', 72.38536834716797, '>', 67.83491897583008, '>', 24.800153732299805]",8,0,1.3029315960912053,100,1.6985138004246285,1.2987012987012987,50.0,1.0526315789473684,correct
2,"[1, 4, 10, 1, 1, 11, 11]","['<=', 79.22483825683594, '>', 9.130087852478027, '>', 27.20951557159424, '<=', 37.50601577758789, '>', 32.265119552612305, '<=', 20.742549896240234, '<=', 20.257522583007812]",7,0,1.1400651465798046,100,1.48619957537155,0.6493506493506493,0.0,0.0,correct
2,"[1, 8, 6, 6, 8, 10, 6, 11, 1]","['>', 79.22483825683594, '<=', 55.08897018432617, '>', 76.97719192504883, '>', 81.61389541625977, '<=', 54.31364440917969, '>', 53.91082763671875, '<=', 98.93305206298828, '<=', 28.058635711669922, '<=', 88.63179016113281]",7,0,1.1400651465798046,100,1.48619957537155,0.6493506493506493,100.0,1.0526315789473684,correct
2,"[1, 8, 6]","['>', 79.22483825683594, '<=', 55.08897018432617, '<=', 76.97719192504883]",6,0,0.9771986970684038,100,1.2738853503184715,0.6493506493506493,100.0,1.0526315789473684,correct
2,"[1, 8, 6, 6, 8, 10, 6, 11, 1, 8, 8]","['>', 79.22483825683594, '<=', 55.08897018432617, '>', 76.97719192504883, '>', 81.61389541625977, '<=', 54.31364440917969, '>', 53.91082763671875, '<=', 98.93305206298828, '<=', 28.058635711669922, '>', 88.63179016113281, '>', 50.24157524108887, '<=', 53.58578109741211]",6,0,0.9771986970684038,100,1.2738853503184715,1.2987012987012987,100.0,2.1052631578947367,correct
2,"[1, 8, 2, 11, 11, 6, 8, 2]","['>', 79.22483825683594, '>', 55.08897018432617, '>', 6.99555778503418, '>', 15.301994800567627, '>', 16.023289680480957, '<=', 120.92045974731445, '>', 58.778228759765625, '<=', 23.18270778656006]",6,0,0.9771986970684038,100,1.2738853503184715,0.6493506493506493,100.0,1.0526315789473684,correct
2,"[1, 8, 2, 11, 11, 6, 8, 2, 8, 8, 8, 1, 8, 10]","['>', 79.22483825683594, '>', 55.08897018432617, '>', 6.99555778503418, '>', 15.301994800567627, '>', 16.023289680480957, '<=', 120.92045974731445, '>', 58.778228759765625, '>', 23.18270778656006, '<=', 72.38536834716797, '<=', 67.83491897583008, '<=', 64.42908668518066, '>', 94.10679626464844, '>', 61.57463455200195, '<=', 80.49898910522461]",6,0,0.9771986970684038,100,1.2738853503184715,0.0,0.0,0.0,correct
2,"[1, 4, 10, 1, 1, 1, 2, 10, 6]","['<=', 79.22483825683594, '>', 9.130087852478027, '>', 27.20951557159424, '<=', 37.50601577758789, '<=', 32.265119552612305, '<=', 30.943477630615234, '>', 36.41305732727051, '>', 45.94804382324219, '<=', 30.115506172180176]",5,0,0.8143322475570033,100,1.0615711252653928,1.948051948051948,100.0,3.1578947368421053,correct
2,"[1, 4, 10, 1, 4, 11, 6]","['<=', 79.22483825683594, '>', 9.130087852478027, '>', 27.20951557159424, '>', 37.50601577758789, '>', 14.923295021057129, '<=', 28.7241268157959, '<=', 36.12209701538086]",5,0,0.8143322475570033,100,1.0615711252653928,0.0,0.0,0.0,correct
2,"[1, 4, 6, 11, 6, 6, 8, 11, 2, 11, 11, 11]","['<=', 79.22483825683594, '<=', 9.130087852478027, '<=', 68.650146484375, '<=', 35.143245697021484, '>', 47.674312591552734, '>', 47.82629203796387, '>', 17.81879425048828, '<=', 18.551777839660645, '<=', 39.36651802062988, '<=', 18.53982448577881, '>', 18.134638786315918, '>', 18.163107872009277]",4,0,0.6514657980456027,100,0.8492569002123143,0.6493506493506493,100.0,1.0526315789473684,correct
2,"[1, 4, 10, 1, 4, 8, 2]","['<=', 79.22483825683594, '>', 9.130087852478027, '>', 27.20951557159424, '>', 37.50601577758789, '<=', 14.923295021057129, '<=', 22.984044075012207, '<=', 44.715152740478516]",4,0,0.6514657980456027,100,0.8492569002123143,0.0,0.0,0.0,correct
