,Rule Type,Rule,Train Coverage (%),Train Precision (%),Train Recall (%),Test Coverage (%),Test Precision (%),Test Recall (%)
0,Rule for correct classification to 0,"LAYER:2, NEURONS:[1, 4, 6, 11, 6], SIGNATURE:['<=', 79.22483825683594, '<=', 9.130087852478027, '<=', 68.650146484375, '<=', 35.143245697021484, '<=', 47.674312591552734], SUPPORT:51",8.306188925081432,100,10.828025477707007,6.493506493506493,90.0,9.473684210526317
0,Rule for correct classification to 0,"LAYER:2, NEURONS:[1, 4, 6, 11, 6, 1, 6, 11], SIGNATURE:['<=', 79.22483825683594, '<=', 9.130087852478027, '<=', 68.650146484375, '<=', 35.143245697021484, '>', 47.674312591552734, '>', 28.43150234222412, '>', 47.82629203796387, '>', 18.551777839660645], SUPPORT:39",6.351791530944626,100,8.280254777070063,9.090909090909092,85.71428571428571,12.631578947368421
0,Rule for correct classification to 0,"LAYER:2, NEURONS:[1, 4, 10, 1, 1, 11], SIGNATURE:['<=', 79.22483825683594, '>', 9.130087852478027, '>', 27.20951557159424, '<=', 37.50601577758789, '>', 32.265119552612305, '>', 20.742549896240234], SUPPORT:38",6.188925081433225,100,8.067940552016985,7.142857142857142,63.63636363636363,7.368421052631578
0,Rule for correct classification to 0,"LAYER:2, NEURONS:[1, 8, 2, 11, 1, 2], SIGNATURE:['>', 79.22483825683594, '>', 55.08897018432617, '>', 6.99555778503418, '<=', 15.301994800567627, '<=', 171.76740264892578, '<=', 33.333580017089844], SUPPORT:29",4.723127035830619,100,6.1571125265392785,4.545454545454546,71.42857142857143,5.263157894736842
0,Rule for correct classification to 0,"LAYER:2, NEURONS:[1, 4, 10, 1, 4, 11, 10, 6, 6, 10, 8, 10], SIGNATURE:['<=', 79.22483825683594, '>', 9.130087852478027, '>', 27.20951557159424, '>', 37.50601577758789, '>', 14.923295021057129, '>', 28.7241268157959, '<=', 85.79150772094727, '<=', 73.33867645263672, '<=', 49.21511459350586, '>', 45.01109313964844, '<=', 32.6074104309082, '<=', 63.719804763793945], SUPPORT:28",4.5602605863192185,100,5.9447983014862,3.896103896103896,83.33333333333334,5.263157894736842
0,Rule for correct classification to 0,"LAYER:2, NEURONS:[1, 4, 6, 11, 6, 1, 6, 11, 2, 11, 11], SIGNATURE:['<=', 79.22483825683594, '<=', 9.130087852478027, '<=', 68.650146484375, '<=', 35.143245697021484, '>', 47.674312591552734, '>', 28.43150234222412, '>', 47.82629203796387, '<=', 18.551777839660645, '<=', 39.36651802062988, '<=', 18.53982448577881, '<=', 18.134638786315918], SUPPORT:20",3.257328990228013,100,4.246284501061571,1.948051948051948,100.0,3.1578947368421053
0,Rule for correct classification to 0,"LAYER:2, NEURONS:[1, 4, 10, 1, 4, 11, 10, 6, 6, 6, 4, 4, 11, 3, 10, 8, 6], SIGNATURE:['<=', 79.22483825683594, '>', 9.130087852478027, '>', 27.20951557159424, '>', 37.50601577758789, '>', 14.923295021057129, '>', 28.7241268157959, '<=', 85.79150772094727, '<=', 73.33867645263672, '>', 49.21511459350586, '>', 49.53880310058594, '>', 18.502821922302246, '>', 21.78748607635498, '>', 33.98397445678711, '<=', 9.034791469573975, '>', 52.390546798706055, '<=', 44.79938507080078, '<=', 67.22541809082031], SUPPORT:19",3.0944625407166124,100,4.033970276008493,3.896103896103896,16.666666666666664,1.0526315789473684
0,Rule for correct classification to 0,"LAYER:2, NEURONS:[1, 4, 10, 1, 4, 11, 10, 6], SIGNATURE:['<=', 79.22483825683594, '>', 9.130087852478027, '>', 27.20951557159424, '>', 37.50601577758789, '>', 14.923295021057129, '>', 28.7241268157959, '<=', 85.79150772094727, '>', 73.33867645263672], SUPPORT:17",2.768729641693811,100,3.6093418259023355,1.948051948051948,33.33333333333333,1.0526315789473684
0,Rule for correct classification to 0,"LAYER:2, NEURONS:[1, 8, 2, 11, 11, 6, 11], SIGNATURE:['>', 79.22483825683594, '>', 55.08897018432617, '>', 6.99555778503418, '>', 15.301994800567627, '>', 16.023289680480957, '>', 120.92045974731445, '>', 23.842796325683594], SUPPORT:16",2.6058631921824107,100,3.397027600849257,3.896103896103896,16.666666666666664,1.0526315789473684
0,Rule for correct classification to 0,"LAYER:2, NEURONS:[1, 4, 6, 6, 2, 2], SIGNATURE:['<=', 79.22483825683594, '<=', 9.130087852478027, '>', 68.650146484375, '>', 69.54710006713867, '>', 25.050808906555176, '>', 35.35737609863281], SUPPORT:14",2.2801302931596092,100,2.9723991507431,1.2987012987012987,100.0,2.1052631578947367
