,Rule Type,Rule,Train Coverage (%),Train Precision (%),Train Recall (%),Test Coverage (%),Test Precision (%),Test Recall (%)
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 2, 3, 6, 0, 7, 2, 3, 4], SIGNATURE:['<=', 139.5, '>', 101.5, '<=', 28.5, '>', 51.0, '<=', 34.5, '<=', 0.8834999799728394, '<=', 7.0, '>', 24.5, '>', 57.0, '>', 28.5, '>', 122.5], SUPPORT:4",0.6514657980456027,100,1.2269938650306749,1.948051948051948,100.0,3.1578947368421053
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 5, 2, 7, 1, 4, 1, 0, 7], SIGNATURE:['<=', 139.5, '>', 101.5, '>', 28.5, '>', 26.25, '<=', 85.0, '>', 37.5, '<=', 124.5, '<=', 153.0, '<=', 110.5, '>', 3.5, '>', 47.0], SUPPORT:4",0.6514657980456027,100,1.2269938650306749,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 6, 5, 1, 2, 7, 7], SIGNATURE:['<=', 139.5, '<=', 101.5, '<=', 0.6514999866485596, '<=', 49.79999923706055, '>', 94.5, '>', 25.0, '>', 41.0, '>', 44.5], SUPPORT:3",0.4885993485342019,100,0.9202453987730062,1.948051948051948,33.33333333333333,1.0526315789473684
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 2, 3, 6, 5], SIGNATURE:['<=', 139.5, '>', 101.5, '<=', 28.5, '>', 51.0, '<=', 34.5, '>', 0.8834999799728394, '<=', 29.100000381469727], SUPPORT:3",0.4885993485342019,100,0.9202453987730062,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 5, 4, 6, 5, 7, 6], SIGNATURE:['<=', 139.5, '>', 101.5, '>', 28.5, '<=', 26.25, '<=', 120.0, '<=', 1.2489999532699585, '>', 9.800000190734863, '>', 57.5, '>', 0.34300000965595245], SUPPORT:3",0.4885993485342019,100,0.9202453987730062,0.6493506493506493,100.0,1.0526315789473684
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 6, 0, 0, 7, 5], SIGNATURE:['<=', 139.5, '<=', 101.5, '>', 0.6514999866485596, '<=', 7.5, '>', 1.5, '<=', 34.0, '<=', 28.649999618530273], SUPPORT:2",0.32573289902280134,100,0.6134969325153374,1.2987012987012987,100.0,2.1052631578947367
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 6, 0, 0, 7, 5, 1, 3], SIGNATURE:['<=', 139.5, '<=', 101.5, '>', 0.6514999866485596, '<=', 7.5, '>', 1.5, '<=', 34.0, '>', 28.649999618530273, '>', 98.5, '>', 21.5], SUPPORT:2",0.32573289902280134,100,0.6134969325153374,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 2, 5, 0], SIGNATURE:['<=', 139.5, '>', 101.5, '<=', 28.5, '<=', 51.0, '<=', 31.600000381469727, '>', 4.5], SUPPORT:2",0.32573289902280134,100,0.6134969325153374,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 2, 3, 6, 0, 7, 3, 1, 5, 7], SIGNATURE:['<=', 139.5, '>', 101.5, '<=', 28.5, '>', 51.0, '<=', 34.5, '<=', 0.8834999799728394, '<=', 7.0, '<=', 24.5, '<=', 5.0, '<=', 133.0, '>', 32.85000038146973, '>', 23.5], SUPPORT:2",0.32573289902280134,100,0.6134969325153374,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 2, 3, 5, 6, 1, 6, 2, 1], SIGNATURE:['<=', 139.5, '>', 101.5, '<=', 28.5, '>', 51.0, '>', 34.5, '>', 33.849998474121094, '>', 0.1614999994635582, '<=', 127.5, '<=', 0.8924999833106995, '<=', 63.0, '<=', 108.5], SUPPORT:2",0.32573289902280134,100,0.6134969325153374,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 5, 2, 7, 2, 0, 3], SIGNATURE:['<=', 139.5, '>', 101.5, '>', 28.5, '>', 26.25, '<=', 85.0, '<=', 37.5, '<=', 67.0, '<=', 5.0, '<=', 16.0], SUPPORT:2",0.32573289902280134,100,0.6134969325153374,1.2987012987012987,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 2, 1, 5], SIGNATURE:['>', 139.5, '<=', 159.5, '<=', 30.5, '<=', 71.0, '>', 149.5, '<=', 32.0], SUPPORT:2",0.32573289902280134,100,0.6134969325153374,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 6, 2, 7, 1], SIGNATURE:['>', 139.5, '<=', 159.5, '>', 30.5, '<=', 0.31450000405311584, '<=', 92.0, '<=', 38.5, '>', 147.0], SUPPORT:2",0.32573289902280134,100,0.6134969325153374,0.6493506493506493,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 4, 7, 4], SIGNATURE:['>', 139.5, '>', 159.5, '>', 469.5, '<=', 42.0, '>', 629.5], SUPPORT:2",0.32573289902280134,100,0.6134969325153374,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 6, 5, 1, 0, 3, 7], SIGNATURE:['<=', 139.5, '<=', 101.5, '<=', 0.6514999866485596, '<=', 49.79999923706055, '<=', 94.5, '<=', 11.0, '>', 39.5, '>', 28.0], SUPPORT:1",0.16286644951140067,100,0.3067484662576687,1.2987012987012987,100.0,2.1052631578947367
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 6, 5, 1, 0, 4], SIGNATURE:['<=', 139.5, '<=', 101.5, '<=', 0.6514999866485596, '<=', 49.79999923706055, '<=', 94.5, '>', 11.0, '>', 27.0], SUPPORT:1",0.16286644951140067,100,0.3067484662576687,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 6, 5, 1, 2, 1], SIGNATURE:['<=', 139.5, '<=', 101.5, '<=', 0.6514999866485596, '<=', 49.79999923706055, '>', 94.5, '<=', 25.0, '<=', 97.5], SUPPORT:1",0.16286644951140067,100,0.3067484662576687,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 6, 5, 1, 2, 7, 5, 3, 7], SIGNATURE:['<=', 139.5, '<=', 101.5, '<=', 0.6514999866485596, '<=', 49.79999923706055, '>', 94.5, '>', 25.0, '<=', 41.0, '>', 37.35000038146973, '<=', 29.0, '>', 25.0], SUPPORT:1",0.16286644951140067,100,0.3067484662576687,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 6, 5, 1, 2, 7, 7, 4], SIGNATURE:['<=', 139.5, '<=', 101.5, '<=', 0.6514999866485596, '<=', 49.79999923706055, '>', 94.5, '>', 25.0, '>', 41.0, '<=', 44.5, '>', 193.0], SUPPORT:1",0.16286644951140067,100,0.3067484662576687,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 2, 5, 4, 3], SIGNATURE:['<=', 139.5, '>', 101.5, '<=', 28.5, '<=', 51.0, '>', 31.600000381469727, '<=', 264.5, '>', 46.0], SUPPORT:1",0.16286644951140067,100,0.3067484662576687,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 2, 3, 5, 3], SIGNATURE:['<=', 139.5, '>', 101.5, '<=', 28.5, '>', 51.0, '>', 34.5, '<=', 33.849998474121094, '>', 37.5], SUPPORT:1",0.16286644951140067,100,0.3067484662576687,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 2, 3, 5, 6, 1, 1], SIGNATURE:['<=', 139.5, '>', 101.5, '<=', 28.5, '>', 51.0, '>', 34.5, '>', 33.849998474121094, '>', 0.1614999994635582, '>', 127.5, '>', 133.5], SUPPORT:1",0.16286644951140067,100,0.3067484662576687,2.5974025974025974,50.0,2.1052631578947367
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 5, 4, 4], SIGNATURE:['<=', 139.5, '>', 101.5, '>', 28.5, '<=', 26.25, '>', 120.0, '>', 241.8000030517578], SUPPORT:1",0.16286644951140067,100,0.3067484662576687,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 5, 2, 7, 2, 0, 2, 6], SIGNATURE:['<=', 139.5, '>', 101.5, '>', 28.5, '>', 26.25, '<=', 85.0, '<=', 37.5, '>', 67.0, '<=', 5.5, '<=', 71.0, '>', 0.6579999923706055], SUPPORT:1",0.16286644951140067,100,0.3067484662576687,1.2987012987012987,50.0,1.0526315789473684
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 5, 2, 7, 2, 0, 6], SIGNATURE:['<=', 139.5, '>', 101.5, '>', 28.5, '>', 26.25, '<=', 85.0, '<=', 37.5, '>', 67.0, '>', 5.5, '<=', 0.12800000235438347], SUPPORT:1",0.16286644951140067,100,0.3067484662576687,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 5, 2, 7, 1, 4, 1, 0, 7, 6, 7], SIGNATURE:['<=', 139.5, '>', 101.5, '>', 28.5, '>', 26.25, '<=', 85.0, '>', 37.5, '<=', 124.5, '<=', 153.0, '<=', 110.5, '>', 3.5, '<=', 47.0, '<=', 0.42249999940395355, '<=', 40.0], SUPPORT:1",0.16286644951140067,100,0.3067484662576687,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 5, 2, 7, 1, 4, 1, 0, 6], SIGNATURE:['<=', 139.5, '>', 101.5, '>', 28.5, '>', 26.25, '<=', 85.0, '>', 37.5, '<=', 124.5, '<=', 153.0, '>', 110.5, '<=', 7.0, '>', 0.6539999842643738], SUPPORT:1",0.16286644951140067,100,0.3067484662576687,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 5, 2, 7, 1, 7, 7, 5], SIGNATURE:['<=', 139.5, '>', 101.5, '>', 28.5, '>', 26.25, '<=', 85.0, '>', 37.5, '>', 124.5, '<=', 61.5, '<=', 41.5, '<=', 30.350000381469727], SUPPORT:1",0.16286644951140067,100,0.3067484662576687,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 5, 2, 7, 1, 7], SIGNATURE:['<=', 139.5, '>', 101.5, '>', 28.5, '>', 26.25, '<=', 85.0, '>', 37.5, '>', 124.5, '>', 61.5], SUPPORT:1",0.16286644951140067,100,0.3067484662576687,0.6493506493506493,100.0,1.0526315789473684
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 5, 2, 6, 4, 0, 1, 6], SIGNATURE:['<=', 139.5, '>', 101.5, '>', 28.5, '>', 26.25, '>', 85.0, '<=', 0.7349999845027924, '<=', 124.0, '<=', 9.5, '>', 134.0, '>', 0.3004999980330467], SUPPORT:1",0.16286644951140067,100,0.3067484662576687,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 5, 2, 6, 4, 3], SIGNATURE:['<=', 139.5, '>', 101.5, '>', 28.5, '>', 26.25, '>', 85.0, '<=', 0.7349999845027924, '>', 124.0, '<=', 19.5], SUPPORT:1",0.16286644951140067,100,0.3067484662576687,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 7, 6, 6, 2, 4], SIGNATURE:['>', 139.5, '<=', 159.5, '>', 30.5, '>', 0.31450000405311584, '<=', 0.8219999969005585, '>', 67.0, '>', 436.5], SUPPORT:1",0.16286644951140067,100,0.3067484662576687,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 4, 7, 5], SIGNATURE:['>', 139.5, '>', 159.5, '<=', 469.5, '<=', 59.5, '<=', 23.09999942779541], SUPPORT:1",0.16286644951140067,100,0.3067484662576687,0.0,0.0,0.0
0,Rule for correct classification to 0,"LAYER:1, NEURONS:[1, 1, 4, 7, 5, 3, 7, 7, 1], SIGNATURE:['>', 139.5, '>', 159.5, '<=', 469.5, '<=', 59.5, '>', 23.09999942779541, '>', 26.5, '<=', 57.5, '>', 48.5, '<=', 166.0], SUPPORT:1",0.16286644951140067,100,0.3067484662576687,0.0,0.0,0.0
